address,longitude,latitude
서울특별시 송파구 충민로 10,127.118583992,37.478858508
강원특별자치도 강릉시 경강로 2398-10 (송정동),128.922701884,37.77056471
인천광역시 서구 서곶로 754,126.677190027,37.585467497
경기 광주시 광주대로 30,127.26123672,37.409867393
인천광역시 계양구 봉오대로 785이마트계양점,126.736900316,37.530955615
경기도 과천시  별양상가3로 11,126.991821496,37.426269927
경기도 수원시 광교로 191(이의동),127.046877975,37.296270889
경기도 광명시 소하로 97,126.884551461,37.446479911
광주광역시 광산구 사암로 172이마트 광산점,126.808579736,35.160005344
광주 서구 죽봉대로 61,126.882008011,35.158678207
서울 구로구 디지털로 32길 43,126.897929979,37.484430205
경상북도 구미시 구미대로 256,128.364914534,36.109409596
전북특별자치도 군산시 구암3.1로 137,126.735015214,35.98278471
"부산 금정구 중앙대로1841번길 24 (구서동, (주)이마트금정점)",129.090560365,35.250228466
경북 김천시 시청로 75,128.116831467,36.134931668
"경기 김포시 김포한강7로 71 (구래동, 이마트 김포한강점)",126.628311668,37.644226405
경남 김해시 김해대로 2232 (외동)이마트 김해점,128.872449698,35.229052461
경기도 남양주시 늘을2로 27,127.243053534,37.655110091
전북특별자치도 남원시 남문로 385-16,127.3749769,35.407643305
경기도 남양주시 도농로 24,127.157753794,37.608204464
대전광역시 동구 동서대로 1689,127.436711015,36.350335003
경상북도 구미시 이계북로 23,128.404175714,36.106266334
경기도 용인시 기흥구 동백죽전대로 444,127.151586176,37.277980629
인천 중구 인중로 134,126.629178935,37.466618715
"강원특별자치도 동해시 천곡로 100 (천곡동, 동해이마트)",129.117129068,37.523921328
대전 서구 둔산북로 41,127.377763251,36.3563813
경상남도 창원시 마산합포구 서성로 3,128.569936876,35.197846176
서울특별시 마포구 백범로 212,126.953365518,37.542431509
"대구 수성구 동원로 136 (만촌동, 이마트만촌점)",128.636941814,35.871123743
서울 강동구 고덕로 276,127.15563282,37.554715024
서울특별시 양천구 오목로 299,126.870360394,37.5260871
전남 목포시 옥암로 138,126.425213118,34.811636193
서울특별시 중랑구 동일로 932,127.077545037,37.613834815
부산광역시 남구 전포대로91번길 47,129.064234107,35.144279739
서울특별시 성북구 도봉로 17(길음동),127.029858624,37.610911596
대구광역시 동구 안심로 389-2,128.727433763,35.870865816
경기도 남양주시 순화궁로 167(별내동),127.125972421,37.642853538
"경기 용인시 기흥구 한보라1로 92 (보라동, 보라지구EMART)",127.105096046,37.247569437
충청남도 보령시 해안로 25,126.588749947,36.343996484
광주광역시 남구 봉선로 198,126.916113758,35.122336298
경기도 성남시 분당구 불정로 134,127.119755812,37.358781972
