key,competitor,density
127.11858_37.47886,2,4
128.9227_37.77056,1,4
126.67719_37.58547,1,5
127.26124_37.40987,2,9
126.99182_37.42627,1,5
127.04688_37.29627,2,4
126.88455_37.44648,1,3
126.88201_35.15868,1,6
126.89793_37.48443,1,18
128.36491_36.10941,3,45
126.73502_35.98278,1,5
129.09056_35.25023,1,15
128.11683_36.13493,2,26
126.62831_37.64423,2,6
127.24305_37.65511,1,12
127.37498_35.40764,2,21
127.15775_37.6082,2,12
127.43671_36.35034,2,12
128.40418_36.10627,1,3
127.15159_37.27798,1,6
126.62918_37.46662,1,3
129.11713_37.52392,1,6
127.37776_36.35638,1,7
128.56994_35.19785,1,12
126.95337_37.54243,2,16
128.63694_35.87112,2,9
127.15563_37.55472,1,7
126.87036_37.52609,2,14
126.42521_34.81164,1,14
127.07755_37.61383,1,13
129.06423_35.14428,1,10
127.02986_37.61091,3,12
128.72743_35.87087,2,10
127.12597_37.64285,1,5
127.1051_37.24757,2,2
126.58875_36.344,2,5
126.91611_35.12234,1,11
127.11976_37.35878,1,2
128.97889_35.16425,2,13
128.0772_34.95072,1,1
126.93142_37.36109,2,18
128.15101_36.42777,1,2
126.50912_33.24835,1,3
126.47877_36.78837,1,3
126.96961_37.28209,2,18
127.14138_37.4443,2,14
128.51017_35.85333,1,17
127.25098_36.47091,1,3
128.59584_38.19103,3,9
126.89868_37.57969,1,2
127.10308_37.48731,1,6
127.02044_37.25138,1,15
127.08335_37.31976,3,4
127.50848_34.94259,2,6
126.82851_37.53972,1,7
126.4805_33.48482,2,41
126.936_37.55499,1,18
127.02122_36.77648,1,5
128.69967_36.55751,1,2
126.81378_37.3028,3,17
127.25592_37.01272,1,10
129.02649_35.33684,1,8
127.03689_37.46252,2,2
127.05392_37.84164,1,3
127.12376_35.8726,3,2
127.71499_34.7579,3,16
126.92527_37.51811,1,6
127.63566_37.28426,1,7
127.04844_37.49922,1,8
126.68127_37.4044,2,16
128.91003_35.95822,1,1
127.07269_37.14067,3,9
129.34839_35.53804,2,5
127.919_37.32063,1,6
127.10237_37.7432,1,1
127.45883_37.29331,1,15
126.95786_35.93065,1,8
126.78228_37.6481,4,8
127.07319_37.53841,1,12
127.12045_35.83259,2,9
126.52118_33.51796,1,8
128.2229_37.12321,1,2
126.76395_37.50407,3,12
127.18211_37.7088,1,6
128.07743_35.19159,2,12
127.0467_37.65164,1,7
128.68019_35.22655,3,30
127.12234_36.83857,1,4
127.12714_36.79592,1,15
127.15666_36.81982,2,18
127.12562_37.53864,3,20
127.01984_37.57075,1,20
127.47457_36.60113,1,6
127.71863_37.86374,3,8
127.92375_36.97211,1,15
128.58981_35.88522,1,5
128.41797_34.88716,1,9
126.74508_37.71042,1,3
126.75083_37.74713,1,1
126.96426_37.39457,1,12
127.0756_37.02099,1,4
127.16046_37.84775,1,5
129.33905_36.03181,1,4
129.39763_35.99248,1,5
126.7871_37.67391,1,4
127.20537_37.55276,1,5
127.03093_37.60504,4,13
129.16739_35.16607,1,6
126.97269_37.22247,3,5
126.83338_37.63261,4,26
127.07333_37.27579,1,6
