store_name,region,open_year,store_area,parking_count,competitor_count,market_density,performance_excluding_tax23,population23,household23,longitude,latitude
가든5점,서울특별시,2011,2720,799,2,4,1143,336821,130505,127.118583992,37.478858508
강릉점,강원특별자치도,2002,3060,713,1,4,1138,90363,41760,128.922701884,37.77056471
검단점,인천광역시,2006,3230,726,1,5,628,256841,103473,126.677190027,37.585467497
경기광주점,경기,2009,1840,434,2,9,1112,184144,76306,127.26123672,37.409867393
과천점,경기도,2015,3020,358,1,5,508,72881,25625,126.991821496,37.426269927
광교점,경기도,2015,4950,694,2,4,728,233976,97325,127.046877975,37.296270889
광명소하점,경기도,2010,3960,773,1,3,833,220623,86726,126.884551461,37.446479911
광주점,광주,2006,3560,2300,1,6,1034,146459,64044,126.882008011,35.158678207
구로점,서울,1999,2660,534,1,18,1016,185193,81063,126.897929979,37.484430205
구미점,경상북도,2002,3560,936,3,45,615,150519,63669,128.364914534,36.109409596
군산점,전북특별자치도,2001,4780,968,1,5,949,77151,34651,126.735015214,35.98278471
금정점,부산,2003,5110,891,1,15,1181,102866,47225,129.090560365,35.250228466
김천점,경북,1998,1970,350,2,26,331,44851,21205,128.116831467,36.134931668
김포한강점,경기,2015,4040,635,2,6,1126,149697,60971,126.628311668,37.644226405
남양주점,경기도,2005,4010,660,1,12,1112,363572,146458,127.243053534,37.655110091
남원점,전북특별자치도,1997,890,170,2,21,158,26450,13214,127.3749769,35.407643305
다산점,경기도,2008,3060,650,2,12,868,363572,146458,127.157753794,37.608204464
대전터미널점,대전광역시,2011,4530,1327,2,12,1155,105803,49885,127.436711015,36.350335003
동구미점,경상북도,2011,3480,694,1,3,527,150519,63669,128.404175714,36.106266334
동백점,경기도,2006,2160,1512,1,6,770,237374,92806,127.151586176,37.277980629
동인천점,인천,2001,3970,780,1,3,721,104781,47714,126.629178935,37.466618715
동해점,강원특별자치도,2004,2210,376,1,6,605,42775,20960,129.117129068,37.523921328
둔산점,대전,2002,3020,850,1,7,1359,312599,129797,127.377763251,36.3563813
마산점,경상남도,2006,2370,736,1,12,571,67004,29861,128.569936876,35.197846176
마포점,서울특별시,2012,1960,364,2,16,770,155219,75063,126.953365518,37.542431509
만촌점,대구,2001,3560,835,2,9,1421,241965,95407,128.636941814,35.871123743
명일점,서울,2002,2990,433,1,7,836,222322,92359,127.15563282,37.554715024
목동점,서울특별시,2009,4610,717,2,14,1198,237943,93221,126.870360394,37.5260871
목포점,전남,2000,3290,624,1,14,1232,93648,44626,126.425213118,34.811636193
묵동점,서울특별시,2011,1380,217,1,13,276,155939,74961,127.077545037,37.613834815
문현점,부산광역시,2003,3600,827,1,10,919,148937,64007,129.064234107,35.144279739
미아점,서울특별시,2008,2780,196,3,12,615,147932,61889,127.029858624,37.610911596
반야월점,대구광역시,2004,4490,718,2,10,669,150847,68961,128.727433763,35.870865816
별내점,경기도,2013,2960,684,1,5,928,363572,146458,127.125972421,37.642853538
보라점,경기,2008,2080,379,2,2,269,237374,92806,127.105096046,37.247569437
보령점,충청남도,2008,2470,300,2,5,307,35779,18450,126.588749947,36.343996484
봉선점,광주광역시,2007,2490,580,1,11,868,95808,41175,126.916113758,35.122336298
분당점,경기도,1996,3720,779,1,2,857,359065,141442,127.119755812,37.358781972
사상점,부산광역시,2003,3720,577,2,13,988,112760,52428,128.978890794,35.1642474
사천점,경상남도,2010,1680,408,1,1,225,39169,19052,128.077197425,34.950724458
산본점,경기,1999,3850,625,2,18,1433,165158,71029,126.931415342,37.361090542
상주점,경상북도,2007,2110,454,1,2,295,28450,14576,128.151009692,36.427769013
서귀포점,제주특별자치도,2006,2380,480,1,3,1028,35756,17367,126.509116288,33.248345741
서산점,충청남도,2012,2480,446,1,3,552,67616,30801,126.47876913,36.788367226
서수원점,경기도,2005,4400,916,2,18,1172,146323,62665,126.969611971,37.282091837
성남점,경기도,2010,4420,805,2,14,1061,120050,52798,127.141380398,37.444300836
성서점,대구,1999,2340,967,1,17,999,312200,130703,128.510168138,35.853330618
세종점,세종특별자치시,2015,3560,615,1,3,1366,182222,73707,127.250979226,36.470907183
속초점,강원특별자치도,2003,2890,422,3,9,970,53694,26081,128.595843478,38.191034168
수색점,서울,2009,1980,228,1,2,287,264151,116644,126.89867899,37.579692922
수서점,서울특별시,2001,760,1000,1,6,248,270993,107814,127.103078798,37.48730916
수원점,경기,2001,4110,822,1,15,1088,146323,62665,127.020444602,37.251375256
수지점,경기도,2003,4280,711,3,4,1124,293578,107449,127.08335139,37.319764424
순천점,전라남도,2005,3110,676,2,6,1042,79150,31583,127.508481449,34.942586049
신월점,서울특별시,1999,560,69,1,7,304,237943,93221,126.828510888,37.539716647
신제주점,제주특별자치도,2003,2530,295,2,41,1132,45802,21739,126.480495054,33.484824054
신촌점,서울,2020,490,121,1,18,268,155219,75063,126.936001776,37.554993916
아산점,충남,2006,2080,435,1,5,614,175131,75450,127.021221791,36.776476521
안동점,경북,2004,2320,438,1,2,626,38756,20524,128.69966698644004,36.55751437446666
안산고잔점,경기도,2003,3910,912,3,17,1402,194458,83898,126.813777377,37.302802826
안성점,경기도,2008,3000,513,1,10,709,90383,41352,127.255924133,37.012721306
양산점,경상남도,2004,4160,778,1,8,1265,163073,69938,129.026492546,35.336842105
양재점,서울특별시,2005,3290,649,2,2,845,156751,61266,127.036892786,37.462515128
양주점,경기도,2004,3290,593,1,3,550,129419,56777,127.053924088,37.841635843
에코시티점,전북특별자치도,2021,800,424,3,2,251,125703,54417,127.123763495,35.872595781
여수점,전남,2001,2730,480,3,16,850,122353,54579,127.714989406,34.757901738
여의도점,서울특별시,2008,1210,280,1,6,334,162097,77177,126.925265745,37.518114096
여주점,경기도,2007,2350,433,1,7,768,63312,29928,127.635664072,37.28426282
역삼점,서울특별시,2006,1380,350,1,8,653,270993,107814,127.048435922,37.499216346
연수점,인천광역시,2002,5400,849,2,16,1669,229295,94882,126.681271854,37.404396292
영천점,경상북도,2004,1540,594,1,1,286,29698,16952,128.910031519,35.958217639
오산점,경기도,2005,3280,770,3,9,903,184948,79412,127.072691109,37.140669292
울산점,울산광역시,2003,4000,956,2,5,1095,114883,47796,129.34839403,35.538043754
원주점,강원특별자치도,1999,3080,555,1,6,833,196730,87129,127.919000448,37.3206309
