store_name,region,open_year,store_area,parking_count,competitor_count,market_density,performance_excluding_tax23,population23,household23,longitude,latitude,competition_index,competition_log,population_log,area_log,household_size,demand_competition_ratio,parking_per_area,sales_per_person,sales_per_competitor,store_efficiency,predicted_sales,opportunity_gap,priority_score,expected_after_online,estimated_cost,roi,strategy,grade
화정점,경기도,2006,3310,615,4,26,637,307464,130213,126.833384695,37.632612852,30,3.4339872044851463,12.63611653861238,8.105005537547246,2.3612388931980677,10248.8,0.18580060422960726,0.0020717872661514844,21.233333333333334,0.19244712990936555,975.5627863865134,338.5627863865134,4278.118824417313,1121.8972043444903,48.778139319325675,9.940871281910015,공격 투자,A
동구미점,경상북도,2011,3480,694,1,3,527,150519,63669,128.404175714,36.106266334,4,1.6094379124341003,11.921851244707373,8.15507488781144,2.3640861329689487,37629.75,0.19942528735632184,0.0035012191151947594,131.75,0.1514367816091954,853.7124683679839,326.7124683679839,3895.017447674267,981.7693386231814,42.685623418399196,10.653922848111849,공격 투자,A
통영점,경상남도,2005,4140,770,1,9,781,54662,25413,128.417971058,34.887158632,10,2.3978952727983707,10.908942342717989,8.328692583545568,2.1509463660331325,5466.2,0.1859903381642512,0.014287805056529216,78.1,0.18864734299516908,1036.0725159409217,255.07251594092168,2782.5713696115295,1191.48339333206,51.80362579704609,7.923835195247399,공격 투자,A
문현점,부산광역시,2003,3600,827,1,10,919,148937,64007,129.064234107,35.144279739,11,2.4849066497880004,11.911285390948345,8.188966863648876,2.326886121830425,13539.727272727272,0.22972222222222222,0.0061703941935180645,83.54545454545455,0.25527777777777777,1120.3230235558412,201.32302355584125,2398.0159893422415,1288.3714770892173,56.01615117779207,6.594017427524666,공격 투자,A
김천점,경북,1998,1970,350,2,26,331,44851,21205,128.116831467,36.134931668,28,3.367295829986474,10.71112345958077,7.58629630715272,2.115114359820797,1601.8214285714287,0.17766497461928935,0.007379991527502174,11.821428571428571,0.16802030456852793,547.4091064042958,216.4091064042958,2317.984656473964,629.5204723649401,27.37045532021479,10.906668116129735,공격 투자,A
오산점,경기도,2005,3280,770,3,9,903,184948,79412,127.072691109,37.140669292,12,2.5649493574615367,12.127835390379262,8.0959035329611,2.328967914169143,15412.333333333334,0.2347560975609756,0.004882453446374116,75.25,0.2753048780487805,998.7095240170951,95.70952401709508,1160.7493525708796,1148.5159526196592,49.93547620085476,4.916663889058029,공격 투자,A
과천점,경기도,2015,3020,358,1,5,508,72881,25625,126.991821496,37.426269927,6,1.9459101490553132,11.196596973928326,8.013343181386672,2.844136585365854,12146.833333333334,0.1185430463576159,0.006970266598976414,84.66666666666667,0.16821192052980133,576.6902286604848,68.69022866048476,769.0968063584285,663.1937629595574,28.83451143302424,5.382222734032995,공격 투자,A
여수점,전남,2001,2730,480,3,16,850,122353,54579,127.714989406,34.757901738,19,2.995732273553991,11.714673761429994,7.912423121473705,2.2417596511478775,6439.631578947368,0.17582417582417584,0.006947112044657671,44.73684210526316,0.31135531135531136,906.6228205534492,56.62282055344917,663.31787023565,1042.6162436364664,45.33114102767246,4.249093212078724,공격 투자,A
양주점,경기도,2004,3290,593,1,3,550,129419,56777,127.053924088,37.841635843,4,1.6094379124341003,11.770818208611256,8.098946748943339,2.2794265283477464,32354.75,0.18024316109422492,0.004249762399647656,137.5,0.16717325227963525,602.7226505525118,52.72265055251182,620.5887351297545,693.1310481353886,30.13613252762559,4.749482967138578,공격 투자,A
검단점,인천광역시,2006,3230,726,1,5,628,256841,103473,126.677190027,37.585467497,6,1.9459101490553132,12.45621638882674,8.080546965824498,2.482203086795589,42806.833333333336,0.22476780185758513,0.002445092489127515,104.66666666666667,0.19442724458204336,677.2313665035119,49.231366503511936,613.2365542853811,778.8160714790387,33.8615683251756,4.453900954342656,공격 투자,A
안성점,경기도,2008,3000,513,1,10,709,90383,41352,127.255924133,37.012721306,11,2.4849066497880004,11.411822539565044,8.006700845440367,2.1856983942735537,8216.636363636364,0.171,0.007844395516856046,64.45454545454545,0.23633333333333334,761.5795084812573,52.579508481257335,600.0280200056638,875.8164347534458,38.07897542406287,4.380801555076274,공격 투자,A
진접점,경기도,2010,3040,525,1,6,463,363572,146458,127.182110313,37.708796723,7,2.0794415416798357,12.803735381102499,8.019941687677365,2.4824318234579197,51938.857142857145,0.17269736842105263,0.001273475405146711,66.14285714285714,0.15230263157894736,506.95041274962114,43.95041274962114,562.7294547363825,582.9929746620643,25.347520637481058,4.73391367850914,공격 투자,A
천안서북점,충남,2012,3950,689,1,4,1046,221498,90859,127.122339216,36.83856879,5,1.791759469228055,12.30817335378445,8.281723990411392,2.437821239502966,44299.6,0.17443037974683545,0.00472239026988957,209.2,0.2648101265822785,1089.6801078373228,43.680107837322794,537.6223393737678,1253.1321240129212,54.48400539186614,3.801705152239848,공격 투자,A
반야월점,대구광역시,2004,4490,718,2,10,669,150847,68961,128.727433763,35.870865816,12,2.5649493574615367,11.924027986295803,8.409830673087738,2.187424776322849,12570.583333333334,0.1599109131403118,0.004434957274589485,55.75,0.1489977728285078,711.7785615988141,42.77856159881412,510.09276571773853,818.5453458386362,35.58892807994071,4.202018827392717,공격 투자,A
흥덕점,경기도,2009,2940,580,1,6,466,237374,92806,127.073332785,37.275791907,7,2.0794415416798357,12.377396448114586,7.9865049385539955,2.5577441113721098,33910.57142857143,0.19727891156462585,0.0019631467641780483,66.57142857142857,0.15850340136054422,506.86303183202654,40.863031832026536,505.77794505691855,582.8924866068305,25.343151591601327,4.612389512185551,공격 투자,A
에코시티점,전북특별자치도,2021,800,424,3,2,251,125703,54417,127.123763495,35.872595781,5,1.791759469228055,11.741685215869968,6.68586094706836,2.3099950383152326,25140.6,0.53,0.0019967701645943214,50.2,0.31375,293.4411583063851,42.44115830638509,498.3307210304787,337.45733205234285,14.672057915319256,5.892652043178742,공격 투자,A
울산점,울산광역시,2003,4000,956,2,5,1095,114883,47796,129.34839403,35.538043754,7,2.0794415416798357,11.65167820261739,8.294299608857235,2.403611180851954,16411.85714285714,0.239,0.00953143633087576,156.42857142857142,0.27375,1132.305771093067,37.30577109306705,434.6748398769233,1302.151636757027,56.615288554653354,3.6589345748375726,공격 투자,A
마산점,경상남도,2006,2370,736,1,12,571,67004,29861,128.569936876,35.197846176,13,2.6390573296152584,11.112522522454329,7.771067086065406,2.2438632329794714,5154.153846153846,0.3105485232067511,0.00852187929078861,43.92307692307692,0.24092827004219408,607.8152523446015,36.815252344601504,409.11032084922374,698.9875401962917,30.390762617230077,4.2113961340255734,공격 투자,A
하월곡점,서울특별시,2012,3350,760,4,13,474,147932,61889,127.030928157,37.605037187,17,2.8903717578961645,11.904514747542745,8.11701408773731,2.390279371132188,8701.882352941177,0.22686567164179106,0.0032041748911662113,27.88235294117647,0.14149253731343284,507.35654180647737,33.35654180647737,397.0934438622359,583.4600230774489,25.36782709032387,4.314915214760376,공격 투자,A
익산점,전북특별자치도,2006,3060,668,1,8,754,75446,36053,126.957862802,35.930649766,9,2.302585092994046,11.231185701974077,8.026496938945412,2.092641389066097,8382.888888888889,0.21830065359477124,0.009993902923945603,83.77777777777777,0.24640522875816995,787.0194159003785,33.019415900378476,370.84719174786625,905.0723282854352,39.350970795018924,3.8391004143805794,공격 투자,A
